Suborder,Family,Sp1,Sp2,Condition,MainTopic,Authors,Year,Article
"""Butterfly""",Pieridae,Tatochila mercedis,Tatochila sterodice,Field,Yes,"PORTER, AH; SHAPIRO, AM.",1990,"LOCK-AND-KEY HYPOTHESIS - LACK OF MECHANICAL ISOLATION IN A BUTTERFLY (LEPIDOPTERA, PIERIDAE) HYBRID ZONE"
"""Butterfly""",Pieridae,Tatochila mercedis,Tatochila vanvolxemii,Field,Yes,"PORTER, AH; SHAPIRO, AM.",1990,"LOCK-AND-KEY HYPOTHESIS - LACK OF MECHANICAL ISOLATION IN A BUTTERFLY (LEPIDOPTERA, PIERIDAE) HYBRID ZONE"
"""Moth""",Notodontidae,Thaumetopoea pityocampa,Thaumetopoea wilkinsoni,Field,Yes,"Ipekdal, K; Burban, C; Saune, L; Battisti, A; Kerdelhue, C.",2020,From refugia to contact: Pine processionary moth hybrid zone in a complex biogeographic setting
"""Moth""",Geometridae,Thera obeliscata,Thera variata,Laboratory,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Moth""",Geometridae,Timandra comae,Timandra griseata,Field,Yes,"Ounap, E; Viidalepp, J; Saarma, U.",2005,Phylogenetic evaluation of the taxonomic status of Timandra griseata and T-comae (Lepidoptera : Geometridae : Sterrhinae)
"""Moth""",Crambidae,Udea alpinalis,Udea uliginosalis,Field,Yes,"Mally, R; Huemer, P; Nuss, M.",2018,"Deep intraspecific DNA barcode splits and hybridisation in the Udea alpinalis group (Insecta, Lepidoptera, Crambidae) - an integrative revision"
"""Moth""",Yponomeutidae,Yponomeuta cagnagella,Yponomeuta malinellus,Laboratory,Yes,"Hora, KH; Roessingh, P; Menken, SBJ.",2005,Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
"""Moth""",Yponomeutidae,Yponomeuta cagnagella,Yponomeuta padella,Laboratory,Yes,"Hora, KH; Roessingh, P; Menken, SBJ.",2005,Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
"""Moth""",Yponomeutidae,Yponomeuta malinellus,Yponomeuta padella,Field,Yes,"Presgraves, DC.",2002,Patterns of postzygotic isolation in Lepidoptera
"""Butterfly""",Lycaenidae,Zizina emelina,Zizina otis,Laboratory,Yes,"Sakamoto, Y; Yago, M.",2017,Potential for interspecific hybridization between Zizina emelina and Zizina otis (Lepidoptera: Lycaenidae)
"""Butterfly""",Lycaenidae,Zizina labradus,Zizina oxleyi,Field,Yes,"Gillespie, M; Wratten, SD; Cruickshank, R; Wiseman, BH; Gibbs, GW.",2013,Incongruence between morphological and molecular markers in the butterfly genus Zizina (Lepidoptera: Lycaenidae) in New Zealand
